row_number,brand,platform,content_type,topic,key_message,target_emotion,scheduled_date,status,generated_post,image_url,audit_score,audit_notes,posted_date,notes,claude_design_prompt,design_status,design_html
1,floatup,instagram,pain_point,GST deadline stress,CAs spend 3 days chasing clients for documents every month,frustration,2026-05-08,pending,,,,,,,,pending_design,
2,floatup,linkedin,story,why I built Floatup,I was a CA who missed a filing because of a WhatsApp chaos — that night changed everything,relatability,2026-05-08,pending,,,,,,,,pending_design,
3,ai_community,instagram,educational,best free AI tools this week,5 AI tools that launched this week that are actually worth trying,curiosity,2026-05-09,pending,,,,,,,,pending_design,
4,floatup,instagram,feature,client portal demo,Floatup gives every client a private link to upload documents and track their compliance,surprise,2026-05-09,pending,,,,,,,,pending_design,
5,floatup,linkedin,insight,CA firm scaling problem,Most CA practices hit a wall at 3-4 team members because their systems dont scale past the founder,concern,2026-05-10,pending,,,,,,,,pending_design,
6,ai_community,linkedin,educational,n8n vs Zapier for solopreneurs,n8n is free and more powerful — here is what you need to know before choosing,curiosity,2026-05-10,pending,,,,,,,,pending_design,
7,floatup,instagram,meme,CA during GST month,The chaos a CA feels vs how it looks to clients — relatable humour,humour,2026-05-11,pending,,,,,,,,pending_design,
8,floatup,linkedin,question,practice management tools,Asking the CA community what system they use to track team tasks and compliance deadlines,engagement,2026-05-12,pending,,,,,,,,pending_design,
9,ai_community,instagram,trend,AI tools replacing manual work,The 3 manual tasks AI completely eliminated from my workflow this month,excitement,2026-05-12,pending,,,,,,,,pending_design,
10,floatup,instagram,feature,recurring tasks feature,Set a compliance task once and Floatup recreates it automatically every month forever,relief,2026-05-13,pending,,,,,,,,pending_design,
11,floatup,linkedin,pain_point,missed compliance deadlines cost,One missed GST deadline costs the client a penalty and costs you the relationship — it should never happen,urgency,2026-05-13,pending,,,,,,,,pending_design,
12,ai_community,instagram,educational,Gemini free tier breakdown,Everything you can do with Gemini for free in 2026 — most people dont know this,curiosity,2026-05-14,pending,,,,,,,,pending_design,
13,floatup,instagram,testimonial,early user win,A CA using Floatup reduced client follow-up messages by 60 percent in the first month,proof,2026-05-15,pending,,,,,,,,pending_design,
14,floatup,linkedin,story,team coordination chaos,The day a client document disappeared between three team members and nobody knew who had it,relatability,2026-05-15,pending,,,,,,,,pending_design,
15,ai_community,linkedin,insight,solopreneur vs agency,Why solopreneurs who use AI tools are outcompeting agencies with 10 people — the leverage shift,provocation,2026-05-16,pending,,,,,,,,pending_design,
16,floatup,instagram,educational,kanban board for CAs,How to use a kanban board to track 50 client tasks without dropping anything,curiosity,2026-05-17,pending,,,,,,,,pending_design,
17,floatup,linkedin,feature,invoicing in Floatup,Most CAs use a separate tool just for invoicing — you dont have to anymore,convenience,2026-05-18,pending,,,,,,,,pending_design,
18,ai_community,instagram,meme,developer automating everything,When you automate your entire marketing and still have to manually drink coffee,humour,2026-05-18,pending,,,,,,,,pending_design,
19,floatup,instagram,pain_point,WhatsApp for client docs,Your clients are sending documents over WhatsApp and you are screenshotting them to save — there is a better way,frustration,2026-05-19,pending,,,,,,,,pending_design,
20,floatup,linkedin,educational,role based permissions in team,Not every team member should see everything — how permission roles protect your CA practice,trust,2026-05-19,pending,,,,,,,,pending_design,
